requirementConfigurationId,requirementName,requirementTypeId,requirementType,requirementDepartmentId,requirementDepartment,requirementOptionTypeId,requirementOptionType,requirementCourseId,requirementId,requirementCreditAmount,stateCourseId,stateCourseCode,stateCourseName,courseOptionTypeId,courseOptionTypeName
30000254,"Physical, Health and Safety Education",1,"Credit Requirement",28,Electives,1,Must,209297,40004405,1,828,08201,"Phys Ed/Health/Drivers' Ed",2,Optional
30000254,"Physical, Health and Safety Education",1,"Credit Requirement",28,Electives,1,Must,209298,40004405,1,829,08997,"Phys, Health & Safe Ed—In Stud",2,Optional
30000254,"Physical, Health and Safety Education",1,"Credit Requirement",28,Electives,1,Must,209299,40004405,1,830,08998,"Phys, Health & Safe Ed—Work Ex",2,Optional
30000254,"Physical, Health and Safety Education",1,"Credit Requirement",28,Electives,1,Must,209300,40004405,1,831,08999,"Phys, Health & Safe Ed—Other",2,Optional
30000254,"Social Science and History",1,"Credit Requirement",28,Electives,1,Must,209263,40004404,1,251,04162,"Law Studies",2,Optional
30000254,"Social Science and History",1,"Credit Requirement",28,Electives,1,Must,209264,40004404,1,252,04163,"Consumer Law",2,Optional
30000254,"Social Science and History",1,"Credit Requirement",28,Electives,1,Must,209265,40004404,1,253,04164,"Business Law",2,Optional
30000254,"Social Science and History",1,"Credit Requirement",28,Electives,1,Must,209266,40004404,1,254,04165,"Legal System",2,Optional
30000254,"Social Science and History",1,"Credit Requirement",28,Electives,1,Must,209267,40004404,1,255,04166,"Particular Topics in Law",2,Optional
30000254,"Social Science and History",1,"Credit Requirement",28,Electives,1,Must,209268,40004404,1,256,04169,"IB Global Politics",2,Optional
30000254,"Social Science and History",1,"Credit Requirement",28,Electives,1,Must,209269,40004404,1,270,04251,Anthropology,2,Optional
30000254,"Social Science and History",1,"Credit Requirement",28,Electives,1,Must,209270,40004404,1,271,04252,"Partic Topic Anthropology",2,Optional
30000254,"Social Science and History",1,"Credit Requirement",28,Electives,1,Must,209271,40004404,1,272,04253,"IB Social Anthropology",2,Optional
30000254,"Social Science and History",1,"Credit Requirement",28,Electives,1,Must,209272,40004404,1,277,04258,Sociology,2,Optional
30000254,"Social Science and History",1,"Credit Requirement",28,Electives,1,Must,209273,40004404,1,278,04259,"Particular Topics in Sociology",2,Optional
30000254,"Social Science and History",1,"Credit Requirement",28,Electives,1,Must,209274,40004404,1,279,04260,"Social Science",2,Optional
30000254,"Social Science and History",1,"Credit Requirement",28,Electives,1,Must,209275,40004404,1,280,04261,"Social Science Research",2,Optional
30000254,"Social Science and History",1,"Credit Requirement",28,Electives,1,Must,209276,40004404,1,281,04297,"Social Sciences—Independ Study",2,Optional
30000254,"Social Science and History",1,"Credit Requirement",28,Electives,1,Must,209277,40004404,1,282,04298,"Social Sciences—Work Exp",2,Optional
30000254,"Social Science and History",1,"Credit Requirement",28,Electives,1,Must,209278,40004404,1,283,04299,"Social Sciences—Other",2,Optional
30000254,"Social Science and History",1,"Credit Requirement",28,Electives,1,Must,209279,40004404,1,284,04301,"Humanities Survey",2,Optional
30000254,"Social Science and History",1,"Credit Requirement",28,Electives,1,Must,209280,40004404,1,285,04302,Humanities,2,Optional
30000254,"Social Science and History",1,"Credit Requirement",28,Electives,1,Must,209281,40004404,1,286,04303,"Issues of Western Humanities",2,Optional
30000254,"Social Science and History",1,"Credit Requirement",28,Electives,1,Must,209282,40004404,1,287,04304,"IB Theory of Knowledge",2,Optional
30000254,"Social Science and History",1,"Credit Requirement",28,Electives,1,Must,209283,40004404,1,288,04305,"Social Studies",2,Optional
30000254,"Social Science and History",1,"Credit Requirement",28,Electives,1,Must,209284,40004404,1,289,04306,Philosophy,2,Optional
30000254,"Social Science and History",1,"Credit Requirement",28,Electives,1,Must,209285,40004404,1,290,04307,"Partic Topic Philosophy",2,Optional
30000254,"Social Science and History",1,"Credit Requirement",28,Electives,1,Must,209286,40004404,1,291,04308,"Modern Intellectual History",2,Optional
30000254,"Social Science and History",1,"Credit Requirement",28,Electives,1,Must,209287,40004404,1,292,04309,"IB Philosophy",2,Optional
30000254,"Social Science and History",1,"Credit Requirement",28,Electives,1,Must,209288,40004404,1,293,04310,"Partic Topic Humanities",2,Optional
30000254,"Social Science and History",1,"Credit Requirement",28,Electives,1,Must,209289,40004404,1,294,04347,"Humanities—Independent Study",2,Optional
30000254,"Social Science and History",1,"Credit Requirement",28,Electives,1,Must,209290,40004404,1,295,04348,"Humanities—Work Experience",2,Optional
30000254,"Social Science and History",1,"Credit Requirement",28,Electives,1,Must,209291,40004404,1,296,04349,Humanities—Other,2,Optional
30000254,"Social Science and History",1,"Credit Requirement",28,Electives,1,Must,209292,40004404,1,297,04994,"Social Sci & Hist—Prof Develop",2,Optional
30000254,"Social Science and History",1,"Credit Requirement",28,Electives,1,Must,209293,40004404,1,298,04996,"Social Sciences and History—Supplemental",2,Optional
30000254,"Social Science and History",1,"Credit Requirement",28,Electives,1,Must,209294,40004404,1,299,04997,"Social Sci & Hist—Ind Study",2,Optional
30000254,"Social Science and History",1,"Credit Requirement",28,Electives,1,Must,209295,40004404,1,300,04998,"Social Sci & Hist—Work Exp",2,Optional
30000254,"Social Science and History",1,"Credit Requirement",28,Electives,1,Must,209296,40004404,1,301,04999,"Social Sci & Hist—Other",2,Optional
30000254,Elective,1,"Credit Requirement",28,Electives,1,Must,208677,40004403,3.5,773,07001,"Religious Foundations",2,Optional
30000254,Elective,1,"Credit Requirement",28,Electives,1,Must,208678,40004403,3.5,774,07002,"Comparative Religion",2,Optional
30000254,Elective,1,"Credit Requirement",28,Electives,1,Must,208679,40004403,3.5,775,07003,"Eastern Religions",2,Optional
30000254,Elective,1,"Credit Requirement",28,Electives,1,Must,208680,40004403,3.5,776,07004,"Western Religions",2,Optional
30000254,Elective,1,"Credit Requirement",28,Electives,1,Must,208681,40004403,3.5,777,07005,Scriptures,2,Optional
30000254,Elective,1,"Credit Requirement",28,Electives,1,Must,208682,40004403,3.5,778,07006,"Old Testament",2,Optional
30000254,Elective,1,"Credit Requirement",28,Electives,1,Must,208683,40004403,3.5,779,07007,"New Testament",2,Optional
30000254,Elective,1,"Credit Requirement",28,Electives,1,Must,208684,40004403,3.5,780,07008,"Bible History",2,Optional
30000254,Elective,1,"Credit Requirement",28,Electives,1,Must,208685,40004403,3.5,781,07009,Christology,2,Optional
30000254,Elective,1,"Credit Requirement",28,Electives,1,Must,208686,40004403,3.5,782,07010,"Religious Figures",2,Optional
30000254,Elective,1,"Credit Requirement",28,Electives,1,Must,208687,40004403,3.5,783,07011,"Liturgy and Prayer",2,Optional
30000254,Elective,1,"Credit Requirement",28,Electives,1,Must,208688,40004403,3.5,784,07012,"Prayer and Spirituality",2,Optional
30000254,Elective,1,"Credit Requirement",28,Electives,1,Must,208689,40004403,3.5,785,07013,"Religious Ethics and Morality",2,Optional
30000254,Elective,1,"Credit Requirement",28,Electives,1,Must,208690,40004403,3.5,786,07014,"Justice, Peace, and Faith",2,Optional
30000254,Elective,1,"Credit Requirement",28,Electives,1,Must,208691,40004403,3.5,787,07015,"Faith and Lifestyle",2,Optional
